StateFIPS,State,WIC_PART_2012,WIC_PART_2013,WIC_PART_2014,WIC_PART_2015,WIC_PART_2016,WIC_PART_2017,WIC_PART_2018,NSLP_PART_2012,NSLP_PART_2013,NSLP_PART_2014,NSLP_PART_2015,NSLP_PART_2016,NSLP_PART_2017,NSLP_PART_2018,SBP_PART_2012,SBP_PART_2013,SBP_PART_2014,SBP_PART_2015,SBP_PART_2016,SBP_PART_2017,SBP_PART_2018,CACFP_PART_2012,CACFP_PART_2013,CACFP_PART_2014,CACFP_PART_2015,CACFP_PART_2016,CACFP_PART_2017,CACFP_PART_2018,SFSP_PART_2012,SFSP_PART_2013,SFSP_PART_2014,SFSP_PART_2015,SFSP_PART_2016,SFSP_PART_2017,SFSP_PART_2018,State_Population_2012,State_Population_2013,State_Population_2014,State_Population_2015,State_Population_2016,State_Population_2017,State_Population_2018
36,New York,524148.0833,513298.6667,485824.5,471868.5834,459101.0,435382.0,416172.5833,1796235.0473,1723748.0523,1697756.922,1698510.7276,1679716.2891,1663295.9367,1680432.0987,644136.1621,641178.2333,660111.5906,673331.5354,724859.2832,759449.7183,772481.002,297400.25,295653.0,311604.0,325426.5,349885.0,311429.75,304387.5,369027,393066,460352,438926,416339,416749,422813,19574549,19628043,19656330,19661411,19641589,19590719,19542209
37,North Carolina,269334.6666,264754.8333,255671.75,248859.75,241287.9167,230660.25,221719.0,942745.4153,906460.386,889937.3127,903945.9427,892866.8345,866758.8398,851197.1713,405295.2175,419976.1477,432595.2295,455909.1454,465466.7386,464599.4247,456288.9848,116996.0,115084.0,119813.5,124403.75,127954.5,127242.25,130174.0,92476,98255,109853,63390,68731,87982,90483,9749123,9843599,9933944,10033079,10156679,10270800,10383620
38,North Dakota,13661.4167,13273.4167,12814.0833,12414.9167,12884.1667,12728.8333,12312.5833,85078.1493,87065.2044,89194.4145,90355.0282,91373.7265,91949.6584,93070.9577,23291.7416,23805.1061,23946.7817,24947.7406,26228.455,26520.1966,28014.2635,16240.0,16817.5,16921.25,17744.25,17810.0,17317.75,16472.25,2184,2454,2497,3997,4011,3579,5257,701116,721999,737382,754022,754353,755176,760077
39,Ohio,275627.3333,263683.4167,250370.0,244200.6667,234719.1667,221746.0,208955.4167,1114370.8498,1063938.7511,1051279.1562,1019834.472,1013673.0193,994188.781,984749.8502,418371.3293,422862.1599,428384.0345,433618.4826,450164.5691,449464.8208,450290.1834,124904.75,122550.75,118292.0,115070.0,116330.0,115881.5,116060.5,64450,60307,51126,50990,51339,64698,65578,11548369,11576576,11602973,11617850,11635003,11664129,11689442
40,Oklahoma,123069.8332,118552.3334,114489.8334,112892.1666,110724.6667,105845.75,98550.6668,446144.1927,437992.0892,439385.7126,440444.6842,447425.027,442477.5261,440851.1327,227416.7566,227754.4048,226575.4525,225685.4848,232765.4321,231253.6258,229567.7814,54327.25,53632.25,52954.0,53308.5,55330.25,58252.5,63207.25,11390,11315,16850,16793,13502,13222,13418,3818600,3853205,3878367,3909831,3926769,3932640,3943079
41,Oregon,111647.8333,107858.75,103226.75,98303.6667,92791.9167,89534.1667,85773.8333,307110.1522,293386.6715,288241.8794,294407.6471,303164.3294,297119.9808,293894.4025,142434.7357,139697.2312,139399.976,141972.0724,146580.7264,144675.6562,147042.9102,46211.25,44569.5,46407.25,48025.25,49085.75,49632.0,48177.75,40815,38653,41368,39454,38390,37979,35802,3899118,3922908,3964106,4016918,4091404,4146592,4190713
42,Pennsylvania,253010.75,253258.0833,248761.0,245979.4167,237204.9167,226059.8333,218188.4167,1127529.9053,1066255.184,1040557.1137,1034973.9902,1029007.5513,1021177.6339,1017565.504,343326.3814,345081.6253,346512.6453,354807.1437,385959.487,394394.9419,406449.119,163791.25,135341.5,135570.0,145039.25,146832.25,159262.0,156001.0,103651,96893,75324,78961,71015,81220,81373,12766827,12776621,12789101,12785759,12783538,12790447,12807060
44,Rhode Island,24261.1667,23415.8333,22138.75,20728.0833,20375.25,19500.5833,18950.4167,79746.9735,77352.5111,76867.4338,76254.1052,77881.5774,77398.5377,76330.8162,32981.4215,32530.6245,32832.3145,32379.2401,34153.422,34463.5023,33564.1855,9371.5,9191.75,9515.25,9892.75,9706.5,9469.75,9209.25,8221,8188,9612,10705,10963,10885,10824,1054601,1055122,1056017,1056173,1057063,1056486,1057315
45,South Carolina,130524.9167,124287.1667,113179.4167,114561.5833,107256.5,99331.6667,92152.5,492877.7418,478053.5778,474023.253,483026.1297,478435.9343,472538.1757,472200.4075,272397.9384,273442.8862,270340.525,266238.4035,268231.8111,267280.2349,268138.799,33468.5,35513.5,36367.25,39243.25,39241.0,40176.25,50683.5,56178,56172,71257,66560,61654,35127,49713,4717112,4764153,4823793,4892253,4958235,5021219,5084127
46,South Dakota,22153.25,20430.0,19573.1667,19474.000100000005,19120.0,18366.583400000003,17667.0,107366.6547,106251.9477,107748.8913,107351.7919,108324.4636,107494.0669,106446.2423,27502.6969,28026.1297,28419.6332,28943.4256,30048.304,29734.2682,29611.8902,14750.75,14372.25,14106.75,17892.0,18120.5,15379.5,14898.0,5518,6060,5891,5891,5741,5950,6721,833496,842270,849088,853933,862890,873286,882235
47,Tennessee,162774.9167,159426.0,153741.8333,150115.75,143730.1667,136302.8333,127814.3333,687451.9957,656847.1773,649935.1552,676702.8647,671670.6221,656161.213,653667.9852,333402.7328,350108.4742,361069.6392,376865.7557,395113.6282,390008.2704,386907.4673,68257.5,70148.0,68795.0,73420.0,78125.5,86603.5,87587.25,32434,41923,48636,46923,39483,68964,66084,6451281,6493432,6540826,6590808,6645011,6708794,6770010
48,Texas,969893.0833,955072.25,916461.1667,886409.1667,859819.4167,821873.25,746246.25,3374153.9015,3314594.1508,3322511.9262,3379270.6461,3377166.1273,3348977.3463,3342252.9066,1786413.6402,1818710.2961,1864868.992,1902635.9823,1928262.1359,1909050.821,1918382.8359,351921.5,369514.5,410908.25,474922.75,546726.5,594859.5,670944.5,176587,180355,181174,139673,126660,113922,144853,26089620,26489464,26977142,27486814,27937492,28322717,28701845
49,Utah,69641.0,66725.8333,61259.4167,58994.9167,56584.25,53747.8333,48988.5833,348886.0122,331692.7964,330222.5818,334253.0265,334437.972,335492.5087,333361.7404,74579.5278,74309.6009,75284.6698,76546.2064,84556.9939,87312.3577,86015.3422,31559.5,32788.0,33196.25,34851.75,32897.75,32950.0,32657.5,13670,13186,11015,6803,7813,7514,3355,2853467,2897927,2937399,2982497,3042613,3103118,3161105
50,Vermont,15471.0833,14836.25,14226.6667,13733.3333,12755.5833,11557.8333,11426.5,54209.2773,51536.9771,50499.8202,49158.9356,48450.1978,47100.5634,46480.5226,23522.8335,22926.4054,22933.8367,22703.9434,24305.4057,24708.9776,25457.749,7914.25,9011.0,9808.0,10353.75,11580.5,17302.75,13376.5,6556,6654,7577,8018,8754,9328,9759,626063,626212,625218,625197,623644,624525,626299
51,Virginia,159137.4167,155935.3333,144597.5833,139631.6667,132404.0,122184.9167,113951.6667,749114.7069,717617.5237,708104.6386,702669.9029,702343.1619,694907.5872,702413.1607,271107.0358,272469.7351,276308.1625,284825.4824,309949.8981,329201.726,351364.7369,70997.0,65337.75,66057.75,68505.75,71045.0,104110.0,112418.25,54339,55519,57306,57328,59073,73284,77137,8185229,8253053,8312076,8362907,8410946,8465207,8517685
53,Washington,194705.75,191753.25,183404.75,176133.0833,168877.5,157453.4167,145015.0833,540434.7357,519599.0651,522871.2693,518076.711,521145.7509,523214.3114,517572.456,186266.2112,183975.4285,187886.0122,188330.0971,193262.4955,195547.0454,199595.9487,75386.5,65756.25,71528.25,79762.0,80268.75,83467.5,79603.0,41012,40365,46219,43904,42510,42470,44507,6892876,6962906,7052439,7163543,7294680,7425432,7535591
54,West Virginia,47890.9167,46401.75,43762.5,41701.0833,40390.9167,38314.75,35412.4167,201332.9737,194032.0029,192151.5042,194292.8203,193201.2465,191543.8092,186269.2077,114119.7411,116980.7024,131580.1271,150198.3699,154201.3664,155963.5623,149357.1857,24122.5,24984.0,24069.25,24443.75,24773.5,23831.25,24036.75,13251,11930,12290,10118,9432,8519,9964,1856764,1853873,1849467,1841996,1830929,1817048,1805832
55,Wisconsin,118584.9167,113762.75,108900.5,105503.5833,100151.9167,95958.1667,92487.0833,596221.8626,562217.0682,550476.2076,541766.7506,527339.3264,510632.9857,500434.1364,172949.0591,173059.0915,177052.4991,185094.3306,192092.1731,190113.8679,192102.1215,60128.25,59571.75,61314.75,61147.25,61480.5,59831.0,58050.75,87538,88294,97600,94796,90176,54672,51806,5719855,5736952,5751974,5761406,5772958,5792051,5813568
56,Wyoming,12601.5834,11980.1666,11628.9167,10995.4167,10782.8334,10158.5834,9062.0,56577.9695,53763.754,52885.4129,51854.1292,50876.0638,49904.5907,48141.3161,15702.8647,14914.4193,14860.0024,14683.4472,15384.6338,15706.7002,16403.8116,9428.25,8243.5,8221.0,8069.75,7532.75,7069.0,6902.5,3079,3516,3529,4334,3734,4620,4671,576270,582123,582548,585668,584290,578934,577737
